FECHA ;HORA ;HUMEDAD
160301;100;61
160301;200;66
160301;300;68
160301;400;71
160301;500;76
160301;600;77
160301;700;76
160301;800;66
160301;900;62
160301;1000;62
160301;1100;60
160301;1200;50
160301;1300;47
160301;1400;43
160301;1500;40
160301;1600;37
160301;1700;35
160301;1800;38
160301;1900;54
160301;2000;59
160301;2100;63
160301;2200;66
160301;2300;69
160302;0;71
160302;100;76
160302;200;79
160302;300;82
160302;400;84
160302;500;86
160302;600;86
160302;700;79
160302;800;69
160302;900;64
160302;1000;59
160302;1100;46
160302;1200;38
160302;1300;34
160302;1400;34
160302;1500;34
160302;1600;35
160302;1700;39
160302;1800;47
160302;1900;56
160302;2000;56
160302;2100;57
160302;2200;61
160302;2300;64
160303;0;67
160303;100;66
160303;200;66
160303;300;67
160303;400;67
160303;500;70
160303;600;70
160303;700;72
160303;800;76
160303;900;71
160303;1000;68
160303;1100;56
160303;1200;49
160303;1300;44
160303;1400;43
160303;1500;39
160303;1600;37
160303;1700;38
160303;1800;39
160303;1900;47
160303;2000;51
160303;2100;56
160303;2200;57
160303;2300;57
160304;0;59
160304;100;61
160304;200;63
160304;300;64
160304;400;63
160304;500;66
160304;600;68
160304;700;64
160304;800;58
160304;900;50
160304;1000;43
160304;1100;37
160304;1200;31
160304;1300;30
160304;1400;28
160304;1500;29
160304;1600;33
160304;1700;35
160304;1800;42
160304;1900;49
160304;2000;55
160304;2100;59
160304;2200;63
160304;2300;66
160305;0;71
160305;100;75
160305;200;78
160305;300;79
160305;400;81
160305;500;83
160305;600;85
160305;700;80
160305;800;69
160305;900;62
160305;1000;55
160305;1100;43
160305;1200;31
160305;1300;27
160305;1400;28
160305;1500;29
160305;1600;31
160305;1700;32
160305;1800;36
160305;1900;40
160305;2000;44
160305;2100;47
160305;2200;52
160305;2300;55
160306;0;60
160306;100;64
160306;200;67
160306;300;69
160306;400;70
160306;500;71
160306;600;72
160306;700;67
160306;800;62
160306;900;60
160306;1000;53
160306;1100;46
160306;1200;44
160306;1300;38
160306;1400;35
160306;1500;36
160306;1600;36
160306;1700;41
160306;1800;47
160306;1900;54
160306;2000;59
160306;2100;63
160306;2200;66
160306;2300;68
160307;0;68
160307;100;69
160307;200;72
160307;300;73
160307;400;74
160307;500;75
160307;600;75
160307;700;66
160307;800;56
160307;900;51
160307;1000;48
160307;1100;45
160307;1200;40
160307;1300;36
160307;1400;40
160307;1500;39
160307;1600;38
160307;1700;41
160307;1800;47
160307;1900;53
160307;2000;64
160307;2100;72
160307;2200;74
160307;2300;75
160308;0;66
160308;100;64
160308;200;69
160308;300;68
160308;400;75
160308;500;73
160308;600;73
160308;700;70
160308;800;63
160308;900;51
160308;1000;43
160308;1100;41
160308;1200;42
160308;1300;37
160308;1400;35
160308;1500;33
160308;1600;33
160308;1700;36
160308;1800;41
160308;1900;49
160308;2000;55
160308;2100;59
160308;2200;64
160308;2300;66
160309;0;70
160309;100;74
160309;200;77
160309;300;79
160309;400;83
160309;500;83
160309;600;85
160309;700;79
160309;800;72
160309;900;64
160309;1000;55
160309;1100;45
160309;1200;39
160309;1300;35
160309;1400;31
160309;1500;28
160309;1600;30
160309;1700;31
160309;1800;37
160309;1900;45
160309;2000;52
160309;2100;54
160309;2200;56
160309;2300;61
160310;0;64
160310;100;69
160310;200;70
160310;300;73
160310;400;71
160310;500;71
160310;600;71
160310;700;67
160310;800;61
160310;900;48
160310;1000;40
160310;1100;19
160310;1200;17
160310;1300;27
160310;1400;49
160310;1500;69
160310;1600;79
160310;1700;81
160310;1800;76
160310;1900;71
160310;2000;54
160310;2100;54
160310;2200;49
160310;2300;45
160311;0;53
160311;100;55
160311;200;56
160311;300;61
160311;400;62
160311;500;64
160311;600;69
160311;700;66
160311;800;60
160311;900;55
160311;1000;48
160311;1100;44
160311;1200;38
160311;1300;36
160311;1400;34
160311;1500;34
160311;1600;36
160311;1700;40
160311;1800;45
160311;1900;49
160311;2000;54
160311;2100;57
160311;2200;59
160311;2300;60
160312;0;64
160312;100;72
160312;200;76
160312;300;79
160312;400;80
160312;500;82
160312;600;83
160312;700;78
160312;800;71
160312;900;64
160312;1000;55
160312;1100;47
160312;1200;34
160312;1300;30
160312;1400;28
160312;1500;26
160312;1600;29
160312;1700;29
160312;1800;36
160312;1900;42
160312;2000;47
160312;2100;53
160312;2200;50
160312;2300;56
160313;0;61
160313;100;57
160313;200;58
160313;300;64
160313;400;66
160313;500;67
160313;600;66
160313;700;61
160313;800;55
160313;900;47
160313;1000;44
160313;1100;43
160313;1200;46
160313;1300;45
160313;1400;45
160313;1500;43
160313;1600;43
160313;1700;46
160313;1800;52
160313;1900;53
160313;2000;58
160313;2100;60
160313;2200;62
160313;2300;64
160314;0;64
160314;100;63
160314;200;68
160314;300;69
160314;400;69
160314;500;68
160314;600;68
160314;700;63
160314;800;55
160314;900;48
160314;1000;44
160314;1100;43
160314;1200;41
160314;1300;40
160314;1400;41
160314;1500;42
160314;1600;43
160314;1700;49
160314;1800;55
160314;1900;61
160314;2000;62
160314;2100;61
160314;2200;59
160314;2300;60
160315;0;64
160315;100;60
160315;200;55
160315;300;57
160315;400;58
160315;500;58
160315;600;58
160315;700;61
160315;800;60
160315;900;53
160315;1000;50
160315;1100;46
160315;1200;44
160315;1300;45
160315;1400;46
160315;1500;46
160315;1600;47
160315;1700;50
160315;1800;56
160315;1900;61
160315;2000;65
160315;2100;68
160315;2200;69
160315;2300;71
160316;0;74
160316;100;80
160316;200;83
160316;300;85
160316;400;85
160316;500;87
160316;600;88
160316;700;83
160316;800;75
160316;900;69
160316;1000;63
160316;1100;56
160316;1200;45
160316;1300;37
160316;1400;32
160316;1500;32
160316;1600;31
160316;1700;35
160316;1800;38
160316;1900;49
