FECHA;HORA ;Registros validados;Registros preliminares;Registros no validados
150318;0;21,7083;;
150319;0;31,9583;;
150320;0;29,4167;;
150321;0;56,0416;;
150322;0;104,792;;
150323;0;69,0833;;
150324;0;58,375;;
150325;0;92,7916;;
150326;0;63,375;;
150327;0;42,7391;;
150328;0;34,875;;
150329;0;16,4583;;
150330;0;23,6667;;
150331;0;28,9583;;
150401;0;30,5833;;
150402;0;32;;
150403;0;;;40,0128
150404;0;;;32,8739
150405;0;;;139,898
150406;0;;;186,53
150407;0;;;151,682
150408;0;;;84,2007
150409;0;;;31,5865
150410;0;;;70,9795
150411;0;;;87,6428
150412;0;;;53,4855
150413;0;;;75,2632
150414;0;;;96,3987
150415;0;;;166,441
150416;0;;;98,3339
150417;0;;;43,5008
150418;0;;;59,413
150419;0;;;32,1711
150420;0;;;40,0955
150421;0;;;22,1271
150422;0;;;15,3529
150423;0;;;11,5855
150424;0;;;22,9007
150425;0;;;23,1291
150426;0;;;50,7092
150427;0;;;87,2443
150428;0;;;55,3737
150429;0;;;52,2684
150430;0;;;21,0697
150501;0;;;34,5717
150502;0;;;31,0335
150503;0;;;12,9858
150504;0;;;24,4082
150505;0;;;74,1296
150506;0;;;115,445
150507;0;;;104,504
150508;0;;;113,31
150509;0;;;64,7153
150510;0;;;48,7045
150511;0;;;62,0491
150512;0;;;36,1611
150513;0;;;14,3196
150514;0;;;11,1722
150515;0;;;19,653
150516;0;;;16,958
150517;0;;;16,9624
150518;0;;;59,6921
150519;0;;;36,1898
150520;0;;;14,6532
150521;0;;;5,22215
150522;0;;;8,91092
150523;0;;;
150524;0;21,7917;;
150525;0;42,1666;;
150526;0;112,344;;
150527;0;124,166;;
150528;0;89,1125;;
150529;0;34,597;;
150530;0;64,2853;;
150531;0;67,7823;;
150601;0;56,9683;;
150602;0;119,072;;
150603;0;48,2858;;
150604;0;110,006;;
150605;0;79,2374;;
150606;0;71,1028;;
150607;0;149,393;;
150608;0;168,372;;
150609;0;109,2;;
150610;0;38,7707;;
150611;0;41,7075;;
150612;0;47,8254;;
150613;0;43,2461;;
150614;0;;;
150615;0;28,4265;;
150616;0;43,2463;;
150617;0;54,7262;;
150618;0;109,531;;
150619;0;101,733;;
150620;0;56,8087;;
150621;0;41,4349;;
150622;0;129,695;;
150623;0;376,437;;
150624;0;510,574;;
150625;0;186,898;;
150626;0;103,428;;
150627;0;31,0691;;
150628;0;18,7568;;
150629;0;29,6459;;
150630;0;87,3048;;
150701;0;81,9907;;
150702;0;90,142;;
150703;0;85,8264;;
150704;0;334,229;;
150705;0;142,136;;
150706;0;90,0106;;
150707;0;115,623;;
150708;0;146,594;;
150709;0;93,1499;;
150710;0;60,5961;;
150711;0;39,5512;;
150712;0;45,9945;;
150713;0;44,4081;;
150714;0;32,0759;;
150715;0;73,3256;;
150716;0;82,2482;;
150717;0;50,9691;;
150718;0;55,4135;;
150719;0;31,9458;;
150720;0;42,3325;;
150721;0;38,9507;;
150722;0;49,6109;;
150723;0;43,2574;;
150724;0;95,5529;;
150725;0;105,898;;
150726;0;97,4786;;
150727;0;82,7124;;
150728;0;62,1376;;
150729;0;104,906;;
150730;0;87,8015;;
150731;0;141,234;;
150801;0;101,441;;
150802;0;85,1328;;
150803;0;53,4795;;
150804;0;139,858;;
150805;0;74,0487;;
150806;0;103,607;;
150807;0;91,6799;;
150808;0;80,0624;;
150809;0;95,0574;;
150810;0;98,1891;;
150811;0;60,4952;;
150812;0;176,089;;
150813;0;160,135;;
150814;0;45,0695;;
150815;0;26,1661;;
150816;0;26,4653;;
150817;0;62,1187;;
150818;0;73,5641;;
150819;0;111,095;;
150820;0;209,156;;
150821;0;149,042;;
150822;0;52,0737;;
150823;0;114,842;;
150824;0;119,658;;
150825;0;127,284;;
150826;0;63,1845;;
150827;0;112,032;;
150828;0;62,6492;;
150829;0;33,4521;;
150830;0;;;
150831;0;75,307;;
150901;0;99,8253;;
150902;0;33,4778;;
150903;0;40,3438;;
150904;0;30,0009;;
150905;0;24,3154;;
150906;0;32,4546;;
150907;0;37,3215;;
150908;0;87,1466;;
150909;0;39,2928;;
150910;0;39,4191;;
150911;0;37,472;;
150912;0;27,4474;;
150913;0;16,3008;;
150914;0;55,5007;;
