FECHA ;HORA ;Temperatura
160301;100;12,2
160301;200;10,8
160301;300;10,2
160301;400;9,7
160301;500;8,39999
160301;600;8
160301;700;8
160301;800;10,9
160301;900;12,3
160301;1000;12,8
160301;1100;13,6
160301;1200;16
160301;1300;17,7
160301;1400;18,6
160301;1500;19,7
160301;1600;20,5
160301;1700;21,2
160301;1800;20,3
160301;1900;18,1
160301;2000;16,9
160301;2100;15,9
160301;2200;15,1
160301;2300;14,7
160302;0;14,2
160302;100;13,1
160302;200;12,2
160302;300;10,6
160302;400;9,7
160302;500;8,79999
160302;600;8,59999
160302;700;9,79999
160302;800;12,5
160302;900;14,7
160302;1000;16,7
160302;1100;19,5
160302;1200;21,8
160302;1300;23,2
160302;1400;24,2
160302;1500;24,4
160302;1600;23,9
160302;1700;22,7
160302;1800;20,8
160302;1900;17,9
160302;2000;17,1
160302;2100;16,6
160302;2200;16,1
160302;2300;15,4
160303;0;14,7
160303;100;14,6
160303;200;14,4
160303;300;14,3
160303;400;14,4
160303;500;13,8
160303;600;13,9
160303;700;13,9
160303;800;13,9
160303;900;15,1
160303;1000;16,1
160303;1100;18,2
160303;1200;19,1
160303;1300;20,1
160303;1400;20
160303;1500;20,3
160303;1600;20,1
160303;1700;19,2
160303;1800;18,2
160303;1900;15,7
160303;2000;14,5
160303;2100;13,7
160303;2200;13,1
160303;2300;12,8
160304;0;12,6
160304;100;12,2
160304;200;11,8
160304;300;11,6
160304;400;11,4
160304;500;10,6
160304;600;10,1
160304;700;11
160304;800;12,4
160304;900;13,8
160304;1000;15,4
160304;1100;16,9
160304;1200;18,3
160304;1300;19,5
160304;1400;20,3
160304;1500;20,6
160304;1600;20,3
160304;1700;19,4
160304;1800;17,8
160304;1900;15,6
160304;2000;14
160304;2100;12,9
160304;2200;12
160304;2300;11,1
160305;0;9,29999
160305;100;8,39999
160305;200;7,39999
160305;300;7,2
160305;400;6,2
160305;500;5,3
160305;600;5
160305;700;5,89999
160305;800;9,2
160305;900;12
160305;1000;14,7
160305;1100;17,8
160305;1200;21
160305;1300;22,1
160305;1400;22,4
160305;1500;22,3
160305;1600;21,8
160305;1700;21,2
160305;1800;19,4
160305;1900;17,7
160305;2000;16,5
160305;2100;15,5
160305;2200;14,7
160305;2300;14
160306;0;13,2
160306;100;12,6
160306;200;12
160306;300;11,6
160306;400;11,1
160306;500;10,6
160306;600;10,1
160306;700;11,1
160306;800;12,3
160306;900;13
160306;1000;14,7
160306;1100;16,5
160306;1200;17,4
160306;1300;19,3
160306;1400;19,9
160306;1500;19,9
160306;1600;20,3
160306;1700;20,2
160306;1800;18,7
160306;1900;16
160306;2000;14,7
160306;2100;13,8
160306;2200;12,8
160306;2300;12
160307;0;11,6
160307;100;11,1
160307;200;10,2
160307;300;10
160307;400;9,59999
160307;500;9,29999
160307;600;9
160307;700;10,7
160307;800;12,6
160307;900;13,8
160307;1000;14,4
160307;1100;15,4
160307;1200;16,4
160307;1300;16,8
160307;1400;15,5
160307;1500;15,4
160307;1600;15,3
160307;1700;15,3
160307;1800;15,1
160307;1900;14,3
160307;2000;13,2
160307;2100;12,3
160307;2200;12,1
160307;2300;12,1
160308;0;13,4
160308;100;13,7
160308;200;13,1
160308;300;13,1
160308;400;12,3
160308;500;12,5
160308;600;12,6
160308;700;13,4
160308;800;14,6
160308;900;16,6
160308;1000;17,8
160308;1100;18,7
160308;1200;19,1
160308;1300;19,7
160308;1400;19,9
160308;1500;20,2
160308;1600;19,9
160308;1700;19
160308;1800;17,6
160308;1900;15
160308;2000;13,6
160308;2100;12,8
160308;2200;11,8
160308;2300;11
160309;0;10
160309;100;8,79999
160309;200;7,8
160309;300;7,2
160309;400;5,89999
160309;500;5,8
160309;600;5
160309;700;6,3
160309;800;8,29999
160309;900;10
160309;1000;12,3
160309;1100;14,8
160309;1200;17,3
160309;1300;19,2
160309;1400;20,7
160309;1500;21,7
160309;1600;21,8
160309;1700;21,8
160309;1800;20,3
160309;1900;17,7
160309;2000;16,1
160309;2100;15,2
160309;2200;14,5
160309;2300;13,4
160310;0;12,5
160310;100;11
160310;200;10,2
160310;300;9,39999
160310;400;10,6
