FECHA,HORA,Unnamed: 2,Unnamed: 3,HORA (HHMM),Unnamed: 2,Unnamed: 3,HORA (HHMM),Registros validados,Registros preliminares,Registros no validados
171001,,,,100.0,"6,6",,0.0,14.0,,
171002,,,,0.0,"8,2",,0.0,31.0,,
171003,,,,0.0,"4,3",,0.0,52.0,,
171004,,,,0.0,5,,0.0,30.0,,
171005,,,,0.0,"6,9",,0.0,29.0,,
171006,,,,0.0,"2,8",,0.0,15.0,,
171007,,,,0.0,"6,8",,0.0,20.0,,
171008,,,,0.0,"6,5",,0.0,46.0,,
171009,,,,0.0,"1,2",,0.0,25.0,,
171010,,,,0.0,"3,9",,0.0,59.0,,
171011,,,,0.0,"1,7",,0.0,42.0,,
171012,,,,0.0,"5,9",,0.0,27.0,,
171013,,,,0.0,"8,60001",,0.0,15.0,,
171014,,,,0.0,"10,1",,0.0,11.0,,
171015,,,,0.0,"8,60001",,0.0,15.0,,
171016,,,,0.0,"7,6",,0.0,17.0,,
171017,,,,0.0,"5,3",,0.0,24.0,,
171018,,,,0.0,"3,5",,0.0,23.0,,
171019,,,,0.0,4,,0.0,20.0,,
171020,,,,0.0,"4,1",,0.0,34.0,,
171021,,,,0.0,"3,4",,0.0,22.0,,
171022,,,,0.0,"5,8",,0.0,28.0,,
171023,,,,0.0,"6,9",,0.0,26.0,,
171024,,,,0.0,"3,9",,0.0,22.0,,
171025,,,,0.0,"6,4",,0.0,16.0,,
171026,,,,0.0,"7,3",,0.0,16.0,,
171027,,,,0.0,"7,3",,0.0,19.0,,
171028,,,,0.0,"4,3",,0.0,17.0,,
171029,,,,0.0,"4,3",,0.0,23.0,,
171030,,,,0.0,"6,3",,0.0,17.0,,
171031,,,,0.0,"5,6",,0.0,48.0,,
171101,,,,0.0,"8,10001",,0.0,18.0,,
171102,,,,0.0,"8,39999",,0.0,19.0,,
171103,,,,0.0,"7,7",,0.0,28.0,,
171104,,,,0.0,"8,2",,0.0,23.0,,
171105,,,,0.0,"7,5",,0.0,27.0,,
171106,,,,0.0,"10,5",,0.0,18.0,,
171107,,,,0.0,"9,5",,0.0,23.0,,
171108,,,,0.0,"8,10001",,0.0,29.0,,
171109,,,,0.0,"7,3",,0.0,18.0,,
171110,,,,0.0,"6,9",,0.0,20.0,,
171111,,,,0.0,"8,8",,0.0,22.0,,
171112,,,,0.0,9,,0.0,15.0,,
171113,,,,0.0,"7,1",,0.0,15.0,,
171114,,,,0.0,"5,5",,0.0,14.0,,
171115,,,,0.0,"5,9",,0.0,12.0,,
171116,,,,0.0,"9,8",,0.0,12.0,,
171117,,,,0.0,"5,5",,0.0,14.0,,
171118,,,,0.0,"6,8",,0.0,15.0,,
171119,,,,0.0,"4,5",,0.0,17.0,,
171120,,,,0.0,"5,5",,0.0,16.0,,
171121,,,,0.0,"6,8",,0.0,20.0,,
