FECHA (YYMMDD),HORA (HHMM),Unnamed: 2,Unnamed: 3
171001,100,"6,6",
171001,200,"6,3",
171001,300,"6,1",
171001,400,"5,6",
171001,500,"5,7",
171001,600,,
171001,700,,
171001,800,"7,9",
171001,900,"9,2",
171001,1000,"11,2",
171001,1100,"12,2",
171001,1200,"12,7",
171001,1300,"12,6",
171001,1400,"12,4",
171001,1500,12,
171001,1600,"11,7",
171001,1700,"11,4",
171001,1800,"9,5",
171001,1900,"8,7",
171001,2000,"8,5",
171001,2100,"8,39999",
171001,2200,"8,2",
171001,2300,"8,2",
171002,0,"8,2",
171002,100,"8,2",
171002,200,"8,10001",
171002,300,"7,5",
171002,400,"5,8",
171002,500,"5,5",
171002,600,"4,9",
171002,700,"4,1",
171002,800,"3,5",
171002,900,"3,8",
171002,1000,"3,6",
171002,1100,"3,3",
171002,1200,"5,2",
171002,1300,"6,4",
171002,1400,"8,2",
171002,1500,"9,2",
171002,1600,"9,2",
171002,1700,"7,4",
171002,1800,"6,6",
171002,1900,"6,2",
171002,2000,5,
171002,2100,"4,7",
171002,2200,"4,6",
171002,2300,"4,3",
171003,0,"4,3",
171003,100,"4,1",
171003,200,"4,3",
171003,300,"4,2",
171003,400,4,
171003,500,4,
171003,600,"4,2",
171003,700,"5,2",
171003,800,"6,4",
171003,900,"7,5",
171003,1000,"7,9",
171003,1100,"9,2",
171003,1200,9,
171003,1300,"9,60001",
171003,1400,"9,60001",
171003,1500,"8,60001",
171003,1600,"7,5",
171003,1700,"6,3",
171003,1800,"5,4",
171003,1900,5,
171003,2000,"4,8",
171003,2100,"4,9",
171003,2200,"4,7",
171003,2300,"5,2",
171004,0,5,
171004,100,"4,3",
171004,200,5,
171004,300,"4,4",
171004,400,"4,8",
171004,500,5,
171004,600,"4,7",
171004,700,"5,2",
171004,800,"6,3",
171004,900,"7,6",
171004,1000,"8,8",
171004,1100,"9,60001",
171004,1200,10,
171004,1300,"10,2",
171004,1400,"9,89999",
171004,1500,"9,3",
171004,1600,"8,39999",
171004,1700,7,
171004,1800,"6,8",
171004,1900,"6,7",
171004,2000,"6,9",
171004,2100,"6,7",
171004,2200,"6,4",
171004,2300,"6,4",
171005,0,"6,9",
171005,100,"6,5",
171005,200,"5,4",
171005,300,"4,1",
171005,400,"4,2",
171005,500,"4,2",
171005,600,"3,9",
171005,700,"3,2",
171005,800,"3,5",
171005,900,"4,8",
171005,1000,"6,1",
171005,1100,"4,1",
171005,1200,"5,8",
171005,1300,4,
171005,1400,"3,2",
171005,1500,"5,5",
171005,1600,5,
171005,1700,"5,3",
171005,1800,"3,6",
171005,1900,"3,4",
171005,2000,"3,4",
171005,2100,"2,9",
171005,2200,"2,2",
171005,2300,"2,6",
171006,0,"2,8",
171006,100,"2,8",
171006,200,"3,6",
171006,300,"3,2",
171006,400,"3,3",
171006,500,"3,7",
171006,600,"4,1",
171006,700,"4,7",
171006,800,"5,7",
171006,900,"6,6",
171006,1000,"7,7",
171006,1100,"8,3",
171006,1200,"8,7",
171006,1300,"9,39999",
171006,1400,"9,39999",
171006,1500,"9,39999",
171006,1600,"9,5",
171006,1700,"8,60001",
171006,1800,8,
171006,1900,"7,5",
171006,2000,"-17,5",
171006,2100,"6,6",
171006,2200,"7,7",
171006,2300,"7,2",
171007,0,"6,8",
171007,100,"6,4",
171007,200,"6,5",
171007,300,"6,4",
171007,400,"6,3",
171007,500,6,
171007,600,6,
171007,700,"6,6",
171007,800,"8,2",
171007,900,"9,39999",
171007,1000,"10,5",
171007,1100,"10,7",
171007,1200,"10,8",
171007,1300,"10,8",
171007,1400,"10,5",
171007,1500,"9,89999",
171007,1600,"9,39999",
171007,1700,"8,7",
171007,1800,"8,3",
171007,1900,"7,8",
171007,2000,"7,6",
171007,2100,"7,1",
171007,2200,"6,7",
171007,2300,"6,5",
171008,0,"6,5",
171008,100,"6,5",
171008,200,"6,1",
171008,300,6,
171008,400,"5,9",
171008,500,"5,5",
171008,600,"5,4",
171008,700,"5,7",
171008,800,"6,3",
171008,900,"7,2",
171008,1000,"7,4",
171008,1100,"6,1",
171008,1200,5,
171008,1300,"3,7",
171008,1400,"3,2",
171008,1500,"2,6",
171008,1600,"2,2",
171008,1700,1,
171008,1800,"0,3",
171008,1900,0,
171008,2000,0,
171008,2100,"0,5",
171008,2200,"0,7",
171008,2300,1,
171009,0,"1,2",
171009,100,"1,4",
171009,200,"1,5",
171009,300,"1,9",
171009,400,"2,5",
171009,500,"2,8",
171009,600,"2,6",
171009,700,"2,7",
171009,800,"4,5",
171009,900,"5,2",
171009,1000,7,
171009,1100,"7,3",
171009,1200,"7,7",
171009,1300,"7,5",
171009,1400,"7,3",
171009,1500,"7,4",
171009,1600,"7,3",
171009,1700,"6,6",
171009,1800,"5,7",
171009,1900,5,
171009,2000,"4,3",
171009,2100,"4,2",
171009,2200,4,
171009,2300,"3,8",
171010,0,"3,9",
171010,100,"3,8",
171010,200,"3,7",
171010,300,"3,3",
171010,400,"2,9",
171010,500,2,
171010,600,"3,1",
171010,700,"4,5",
171010,800,"5,7",
171010,900,"7,6",
171010,1000,"9,60001",
171010,1100,"10,2",
171010,1200,"11,3",
171010,1300,"11,4",
