FECHA (YYMMDD);HORA (HHMM);;
240426;0100;85,55;
240426;0200;89,8;
240426;0300;91,8833;
240426;0400;92,35;
240426;0500;86,35;
240426;0600;85,6667;
240426;0700;89,0167;
240426;0800;81,85;
240426;0900;76,3658;
240426;1000;76,045;
240426;1100;72,8625;
240426;1200;74,1517;
240426;1300;74,0342;
240426;1400;76,8083;
240426;1500;71,8726;
240426;1600;66,2417;
240426;1700;73,6508;
240426;1800;76,9384;
240426;1900;73,6008;
240426;2000;74,4092;
240426;2100;73,5192;
240426;2200;72,2325;
240426;2300;72,5217;
240427;0000;74,7775;
240427;0100;76,0925;
240427;0200;77,1241;
240427;0300;77,335;
240427;0400;76,9318;
240427;0500;78,7675;
240427;0600;76,5417;
240427;0700;74,5592;
240427;0800;71,145;
240427;0900;71,1525;
240427;1000;71,7133;
240427;1100;67,6025;
240427;1200;72,9135;
240427;1300;70,6233;
240427;1400;68,4192;
240427;1500;57,11;
240427;1600;65,3492;
240427;1700;72,3234;
240427;1800;76,425;
240427;1900;75,5026;
240427;2000;79,5167;
240427;2100;79,8158;
240427;2200;76,6617;
240427;2300;73,2367;
240428;0000;69,2717;
240428;0100;71,8209;
240428;0200;73,2343;
240428;0300;70,9725;
240428;0400;66,0917;
240428;0500;64,8068;
240428;0600;64,6176;
240428;0700;66,045;
240428;0800;67,4008;
240428;0900;63,3075;
240428;1000;57,7242;
240428;1100;57,6742;
240428;1200;52,3517;
240428;1300;51,8758;
240428;1400;49,6842;
240428;1500;49,7133;
240428;1600;53,5876;
240428;1700;60,4484;
240428;1800;60,2593;
240428;1900;58,5193;
240428;2000;66,9485;
240428;2100;68,9944;
240428;2200;70,7126;
240428;2300;68,5901;
240429;0000;68,1868;
240429;0100;73,7769;
240429;0200;83,3085;
240429;0300;85,4917;
240429;0400;86,4751;
240429;0500;85,8911;
240429;0600;84,1227;
240429;0700;85,2584;
240429;0800;88,1669;
240429;0900;90,3083;
240429;1000;78,0858;
240429;1100;75,8593;
240429;1200;76,8925;
240429;1300;69,155;
240429;1400;58,175;
240429;1500;58,5367;
240429;1600;64,0367;
240429;1700;70,7433;
240429;1800;74,5;
240429;1900;67,8101;
240429;2000;62,2958;
240429;2100;60,6492;
240429;2200;61,4658;
240429;2300;63,5925;
240430;0000;67,2817;
240430;0100;68,9692;
240430;0200;71,8092;
240430;0300;71,5125;
240430;0400;74,1583;
240430;0500;73,5592;
240430;0600;75,4283;
240430;0700;75,6392;
240430;0800;76,4575;
240430;0900;75,5367;
240430;1000;74,4025;
240430;1100;81,6467;
240430;1200;84,0667;
240430;1300;81,1667;
240430;1400;76,4575;
240430;1500;75,1259;
240430;1600;77,34;
240430;1700;78,7567;
240430;1800;80,6892;
240430;1900;80,4525;
240430;2000;80,3533;
240430;2100;83,65;
240430;2200;85,9333;
240430;2300;86,1583;
240501;0000;86,5917;
240501;0100;87,3917;
240501;0200;85,4833;
240501;0300;81,975;
240501;0400;81,7333;
240501;0500;83,425;
240501;0600;83,2583;
240501;0700;84,2667;
240501;0800;82,4667;
240501;0900;78,9133;
240501;1000;75,8058;
240501;1100;69,1217;
240501;1200;59,3408;
240501;1300;59,1517;
240501;1400;56,8108;
240501;1500;56,9125;
240501;1600;61,7742;
240501;1700;70,0217;
240501;1800;76,5525;
240501;1900;77,8051;
240501;2000;76,7142;
240501;2100;78,965;
240501;2200;81,35;
240501;2300;82,2583;
240502;0000;81,0725;
