FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240425;0000;;39;;
240426;0000;;26;;
240427;0000;;18;;
240428;0000;;25;;
240429;0000;;32;;
240430;0000;;32;;
240501;0000;;63;;
240502;0000;;53;;
240503;0000;;48;;
240504;0000;;36;;
240505;0000;;31;;
240506;0000;;82;;
240507;0000;;85;;
240508;0000;;50;;
240509;0000;;74;;
240510;0000;;77;;
240511;0000;;76;;
240512;0000;;125;;
240513;0000;;116;;
240514;0000;;284;;
240515;0000;;371;;
240516;0000;;188;;
240517;0000;;194;;
240518;0000;;227;;
240519;0000;;94;;
240520;0000;;91;;
240521;0000;;62;;
240522;0000;;52;;
240523;0000;;137;;
240524;0000;;249;;
