FECHA (YYMMDD);HORA (HHMM);;
240426;0100;0,4695;
240426;0200;-0,0775834;
240426;0300;-0,378917;
240426;0400;-0,260083;
240426;0500;0,169917;
240426;0600;0,0830833;
240426;0700;-0,0574167;
240426;0800;0,839083;
240426;0900;1,8765;
240426;1000;2,343;
240426;1100;3,3575;
240426;1200;3,08617;
240426;1300;3,52375;
240426;1400;3,0435;
240426;1500;3,75933;
240426;1600;3,86583;
240426;1700;2,36092;
240426;1800;1,85208;
240426;1900;1,79483;
240426;2000;1,82833;
240426;2100;2,09117;
240426;2200;2,40092;
240426;2300;2,37175;
240427;0000;2,211;
240427;0100;2,16533;
240427;0200;2,07617;
240427;0300;2,16425;
240427;0400;2,19683;
240427;0500;2,14983;
240427;0600;2,41683;
240427;0700;2,68067;
240427;0800;3,25625;
240427;0900;3,52242;
240427;1000;4,03475;
240427;1100;4,82492;
240427;1200;4,62817;
240427;1300;5,3185;
240427;1400;5,75617;
240427;1500;7,865;
240427;1600;6,57733;
240427;1700;5,73408;
240427;1800;5,23092;
240427;1900;5,48783;
240427;2000;5,374;
240427;2100;5,6155;
240427;2200;5,9465;
240427;2300;5,84817;
240428;0000;5,44933;
240428;0100;4,98467;
240428;0200;4,82175;
240428;0300;4,78058;
240428;0400;4,79667;
240428;0500;4,73358;
240428;0600;4,695;
240428;0700;4,732;
240428;0800;5,23975;
240428;0900;6,70067;
240428;1000;7,43425;
240428;1100;7,83675;
240428;1200;8,36501;
240428;1300;8,9025;
240428;1400;9,08667;
240428;1500;9,13;
240428;1600;8,20993;
240428;1700;7,15951;
240428;1800;6,95126;
240428;1900;7,01568;
240428;2000;5,96976;
240428;2100;5,73151;
240428;2200;5,54417;
240428;2300;5,99892;
240429;0000;6,06918;
240429;0100;4,90734;
240429;0200;3,68292;
240429;0300;3,52642;
240429;0400;3,21642;
240429;0500;3,37901;
240429;0600;3,74508;
240429;0700;3,9055;
240429;0800;3,723;
240429;0900;3,89492;
240429;1000;6,30867;
240429;1100;6,92433;
240429;1200;6,98425;
240429;1300;7,62658;
240429;1400;8,03725;
240429;1500;7,97309;
240429;1600;7,10525;
240429;1700;6,08617;
240429;1800;5,51625;
240429;1900;5,65042;
240429;2000;5,76075;
240429;2100;5,62992;
240429;2200;5,27158;
240429;2300;4,74825;
240430;0000;4,33108;
240430;0100;4,07317;
240430;0200;3,84833;
240430;0300;3,80875;
240430;0400;3,57142;
240430;0500;3,52908;
240430;0600;3,22192;
240430;0700;3,29292;
240430;0800;3,39008;
240430;0900;3,663;
240430;1000;4,0395;
240430;1100;3,30708;
240430;1200;3,00625;
240430;1300;3,64;
240430;1400;4,26842;
240430;1500;4,64867;
240430;1600;4,167;
240430;1700;3,83025;
240430;1800;3,54567;
240430;1900;3,632;
240430;2000;3,46708;
240430;2100;2,78617;
240430;2200;2,4045;
240430;2300;2,38333;
240501;0000;2,2035;
240501;0100;1,67567;
240501;0200;1,752;
240501;0300;2,21975;
240501;0400;1,84875;
240501;0500;1,4895;
240501;0600;2,05983;
240501;0700;2,13425;
240501;0800;2,94533;
240501;0900;3,99558;
240501;1000;4,80883;
240501;1100;5,90367;
240501;1200;7,12508;
240501;1300;7,06942;
240501;1400;7,26058;
240501;1500;7,83225;
240501;1600;6,92192;
240501;1700;5,4045;
240501;1800;4,40375;
240501;1900;3,91417;
240501;2000;3,80392;
240501;2100;3,03533;
240501;2200;2,51483;
240501;2300;2,25883;
240502;0000;2,21358;
240502;0100;2,13633;
240502;0200;1,90808;
240502;0300;1,30483;
240502;0400;1,09175;
240502;0500;0,914917;
240502;0600;0,734583;
240502;0700;0,852917;
240502;0800;2,65633;
240502;0900;4,40342;
240502;1000;5,53617;
240502;1100;6,67392;
240502;1200;7,19583;
240502;1300;7,01467;
240502;1400;7,12217;
240502;1500;6,92558;
240502;1600;6,17767;
240502;1700;4,56067;
240502;1800;4,255;
240502;1900;4,6435;
240502;2000;4,70192;
240502;2100;4,32083;
240502;2200;4,26883;
240502;2300;4,12558;
240503;0000;4,03433;
240503;0100;4,41233;
240503;0200;3,55408;
240503;0300;3,25508;
240503;0400;3,21242;
240503;0500;2,61108;
240503;0600;2,00942;
240503;0700;1,91542;
240503;0800;2,46758;
240503;0900;3,98267;
240503;1000;4,36992;
240503;1100;5,46617;
240503;1200;6,15325;
240503;1300;6,77367;
240503;1400;8,70084;
240503;1500;7,46233;
240503;1600;5,71058;
240503;1700;5,05392;
240503;1800;4,7845;
240503;1900;4,65667;
240503;2000;4,10817;
240503;2100;3,64775;
240503;2200;3,61108;
240503;2300;3,34092;
240504;0000;2,80458;
240504;0100;2,82208;
240504;0200;2,40492;
240504;0300;2,09267;
240504;0400;1,69517;
240504;0500;1,975;
240504;0600;1,58183;
240504;0700;1,50308;
240504;0800;1,49575;
240504;0900;2,151;
240504;1000;2,85408;
240504;1100;3,23083;
240504;1200;2,95933;
240504;1300;4,17467;
240504;1400;5,22267;
240504;1500;5,095;
240504;1600;3,204;
240504;1700;2,53233;
240504;1800;2,27967;
240504;1900;2,20808;
240504;2000;2,23142;
240504;2100;1,46867;
240504;2200;1,37358;
240504;2300;1,215;
240505;0000;0,93925;
240505;0100;0,921583;
240505;0200;0,88025;
240505;0300;0,931667;
240505;0400;0,881333;
240505;0500;0,586667;
240505;0600;0,603667;
240505;0700;0,730167;
240505;0800;0,73;
240505;0900;1,8935;
240505;1000;2,57733;
240505;1100;3,342;
240505;1200;2,99133;
240505;1300;2,08008;
240505;1400;3,10042;
240505;1500;2,53508;
240505;1600;1,77425;
240505;1700;1,37208;
240505;1800;1,28692;
240505;1900;0,327333;
240505;2000;-0,02225;
240505;2100;-0,0645;
240505;2200;-0,0435833;
240505;2300;-0,383917;
240506;0000;-0,473167;
240506;0100;-0,36875;
240506;0200;-0,418833;
240506;0300;-0,510834;
240506;0400;-0,587501;
240506;0500;-0,682418;
240506;0600;-0,989168;
240506;0700;-0,933334;
240506;0800;-0,819168;
240506;0900;-0,432083;
240506;1000;-0,109583;
240506;1100;0,334583;
240506;1200;0,940833;
240506;1300;0,868917;
240506;1400;0,674167;
240506;1500;0,306667;
240506;1600;0,441083;
240506;1700;-0,079;
240506;1800;-0,105333;
240506;1900;-0,215917;
240506;2000;-0,285833;
240506;2100;-0,305417;
240506;2200;-0,305667;
240506;2300;-0,47375;
240507;0000;-0,559334;
240507;0100;-0,746917;
240507;0200;-1,072;
240507;0300;-1,19183;
240507;0400;-1,41925;
240507;0500;-1,49775;
240507;0600;-1,47383;
240507;0700;-1,517;
240507;0800;-1,45825;
240507;0900;-0,91625;
240507;1000;-0,6165;
240507;1100;0,503167;
240507;1200;1,17208;
240507;1300;1,28792;
240507;1400;1,493;
240507;1500;1,67475;
240507;1600;1,60092;
240507;1700;1,55467;
240507;1800;1,2065;
240507;1900;0,766667;
240507;2000;0,600918;
240507;2100;1,12258;
240507;2200;1,07082;
240507;2300;1,43017;
240508;0000;1,47333;
240508;0100;1,54842;
240508;0200;1,1635;
240508;0300;1,44117;
240508;0400;1,3965;
240508;0500;1,74608;
240508;0600;1,748;
240508;0700;1,50575;
240508;0800;1,72983;
240508;0900;3,65142;
240508;1000;5,66875;
240508;1100;6,20442;
240508;1200;6,63117;
240508;1300;6,71375;
240508;1400;6,95792;
240508;1500;6,95675;
240508;1600;6,46233;
240508;1700;5,88025;
240508;1800;4,98467;
240508;1900;3,99942;
240508;2000;3,68358;
240508;2100;3,00133;
240508;2200;2,25033;
240508;2300;2,18342;
240509;0000;1,80383;
240509;0100;1,19933;
240509;0200;0,632083;
240509;0300;0,841833;
240509;0400;0,653333;
240509;0500;0,345583;
240509;0600;0,178167;
240509;0700;0,0959167;
240509;0800;0,362833;
240509;0900;0,777667;
240509;1000;0,774;
240509;1100;0,496833;
240509;1200;0,574083;
240509;1300;1,11517;
240509;1400;1,70667;
240509;1500;2,21975;
240509;1600;2,372;
240509;1700;2,39767;
240509;1800;2,28333;
240509;1900;2,16125;
240509;2000;1,95573;
240509;2100;1,94492;
240509;2200;1,90742;
240509;2300;1,85525;
240510;0000;1,86533;
240510;0100;1,46383;
240510;0200;1,31067;
240510;0300;1,07858;
240510;0400;0,976583;
240510;0500;0,7945;
240510;0600;0,77725;
240510;0700;0,617;
240510;0800;0,717167;
240510;0900;1,02908;
240510;1000;1,6435;
240510;1100;3,02483;
240510;1200;3,91192;
240510;1300;4,342;
240510;1400;4,2695;
240510;1500;4,36842;
240510;1600;4,0175;
240510;1700;3,72617;
240510;1800;3,36092;
240510;1900;3,15142;
240510;2000;3,0585;
240510;2100;2,76175;
240510;2200;2,51767;
240510;2300;2,61442;
240511;0000;2,18375;
240511;0100;1,55633;
240511;0200;1,23733;
240511;0300;0,741167;
240511;0400;0,377168;
240511;0500;0,122417;
240511;0600;-0,0526668;
240511;0700;-0,213667;
240511;0800;-0,0689168;
240511;0900;0,314;
240511;1000;1,00858;
240511;1100;1,99483;
240511;1200;3,33192;
240511;1300;4,60283;
240511;1400;5,06533;
240511;1500;5,8595;
240511;1600;5,60492;
240511;1700;3,9695;
240511;1800;3,06183;
240511;1900;2,52167;
240511;2000;1,92583;
240511;2100;1,77508;
240511;2200;1,82292;
240511;2300;1,10567;
240512;0000;0,667834;
240512;0100;-0,842168;
240512;0200;-1,68383;
240512;0300;-2,4045;
240512;0400;-3,12943;
240512;0500;-3,3125;
240512;0600;-3,79692;
240512;0700;-3,94518;
240512;0800;-3,52393;
240512;0900;-1,85975;
240512;1000;0,02125;
240512;1100;0,6705;
240512;1200;1,62692;
240512;1300;1,85492;
240512;1400;2,08092;
240512;1500;2,39208;
240512;1600;2,342;
240512;1700;1,94983;
240512;1800;1,79442;
240512;1900;1,50267;
240512;2000;1,19983;
240512;2100;1,50958;
240512;2200;2,08358;
240512;2300;2,14734;
240513;0000;2,049;
240513;0100;1,60658;
240513;0200;1,66392;
240513;0300;1,47233;
240513;0400;0,644584;
240513;0500;0,635084;
240513;0600;0,311833;
240513;0700;-0,977751;
240513;0800;-0,768084;
240513;0900;1,17517;
240513;1000;2,47775;
240513;1100;3,72733;
240513;1200;4,20708;
240513;1300;4,66383;
240513;1400;5,27283;
240513;1500;5,52167;
240513;1600;5,2865;
240513;1700;3,76108;
240513;1800;1,629;
240513;1900;0,44175;
240513;2000;-0,149;
240513;2100;-0,744;
240513;2200;-1,4735;
240513;2300;-2,05175;
240514;0000;-2,44883;
240514;0100;-3,04083;
240514;0200;-3,69858;
240514;0300;-3,95475;
240514;0400;-4,38533;
240514;0500;-5,06967;
240514;0600;-5,60017;
240514;0700;-5,92075;
240514;0800;-5,56217;
240514;0900;-4,71875;
240514;1000;-4,06142;
240514;1100;-3,37167;
240514;1200;-2,5165;
240514;1300;-0,865917;
240514;1400;-0,149167;
240514;1500;1,08867;
240514;1600;1,58783;
240514;1700;0,184917;
240514;1800;-0,7255;
240514;1900;-1,22075;
240514;2000;-1,95108;
240514;2100;-2,01933;
240514;2200;-2,68608;
240514;2300;-3,02375;
240515;0000;-3,24825;
240515;0100;-3,53308;
240515;0200;-3,90867;
240515;0300;-4,45642;
240515;0400;-4,81458;
240515;0500;-4,80233;
